Sample	Cohort	Site	Region	Lat	Long	Date	Depth_m	Diam_m	SB_98	SB_10
DO1	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.145	NA	NA
DO10	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.15	NA	NA
DO11	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.165	NA	NA
DO12	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.08	NA	NA
DO13	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.17	NA	NA
DO14	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.11	NA	NA
DO15	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.065	NA	NA
DO16	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.16	NA	NA
DO17	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.125	NA	NA
DO18	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.13	NA	NA
DO19	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.155	NA	NA
DO2	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.16	NA	NA
DO20	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.145	NA	NA
DO21	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.025	NA	NA
DO22	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.08	NA	NA
DO23	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.055	NA	NA
DO24	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.035	NA	NA
DO25	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.05	NA	NA
DO26	Juvenile	Drop_Off	OR	7.2673	134.52145	6-Oct-18	2.5	0.07	NA	NA
DO27	Juvenile	Drop_Off	OR	7.2673	134.52145	6-Oct-18	2.5	0.075	NA	NA
DO28	Juvenile	Drop_Off	OR	7.2673	134.52145	6-Oct-18	2.5	0.03	NA	NA
DO29	Juvenile	Drop_Off	OR	7.2673	134.52145	6-Oct-18	2.5	0.055	NA	NA
DO3	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.165	NA	NA
DO30	Juvenile	Drop_Off	OR	7.2673	134.52145	6-Oct-18	2.5	0.08	NA	NA
DO4	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.13	NA	NA
DO5	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.16	NA	NA
DO6	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.175	NA	NA
DO7	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.095	NA	NA
DO8	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.115	NA	NA
DO9	Juvenile	Drop_Off	OR	7.2673	134.52145	28-Sep-18	2	0.12	NA	NA
Palau053	Adult	Drop_Off	OR	7.25879	134.52963	11-Apr-11	13.1	NA	NA	NA
Palau054	Adult	Drop_Off	OR	7.26878	134.52218	22-Sep-11	2.1	NA	1	0
Palau055	Adult	Drop_Off	OR	7.26878	134.52218	22-Sep-11	1.8	NA	NA	0
Palau056	Adult	Drop_Off	OR	7.26878	134.52218	22-Sep-11	1.5	NA	1	1
Palau057	Adult	Drop_Off	OR	7.26878	134.52218	22-Sep-11	4	NA	NA	0
Palau058	Adult	Drop_Off	OR	7.26878	134.52218	22-Sep-11	2.4	NA	0	0
Palau059	Adult	Drop_Off	OR	7.26878	134.52218	22-Sep-11	3	NA	NA	1
Palau060	Adult	Drop_Off	OR	7.26878	134.52218	22-Sep-11	5.5	NA	0	0
Palau061	Adult	Drop_Off	OR	7.26878	134.52218	22-Sep-11	2.7	NA	1	0
Palau062	Adult	Drop_Off	OR	7.26878	134.52218	22-Sep-11	3.4	NA	NA	0
Palau063	Adult	Drop_Off	OR	7.26878	134.52218	22-Sep-11	1.8	NA	NA	0
Palau064	Adult	Drop_Off	OR	7.26967	134.54963	23-Sep-11	1.2	NA	1	0
Palau065	Adult	Drop_Off	OR	7.26967	134.54963	23-Sep-11	1.3	NA	0	0
Palau066	Adult	Drop_Off	OR	7.26967	134.54963	23-Sep-11	1.9	NA	1	0
Palau067	Adult	Drop_Off	OR	7.26967	134.54963	23-Sep-11	1.5	NA	NA	1
Palau068	Adult	Drop_Off	OR	7.26967	134.54963	23-Sep-11	1.2	NA	NA	NA
Palau069	Adult	Drop_Off	OR	7.26967	134.54963	23-Sep-11	1.5	NA	NA	NA
Palau070	Adult	Drop_Off	OR	7.26967	134.54963	23-Sep-11	1.5	NA	NA	0
Palau071	Adult	Drop_Off	OR	7.26967	134.54963	23-Sep-11	1.5	NA	0	0
