Sample	Site	Core	Year	Density	ExtRate	CalcRate
Palau007	Ngermid	166	2010	1.0759	0.7266	0.7817
Palau007	Ngermid	166	2009	1.1227	0.7579	0.8508
Palau007	Ngermid	166	2008	1.1087	0.753	0.8348
Palau007	Ngermid	166	2007	1.1686	0.9536	1.1144
Palau007	Ngermid	166	2006	1.1156	0.8116	0.9054
Palau007	Ngermid	166	2005	1.1248	0.8006	0.9005
Palau007	Ngermid	166	2004	1.1143	0.6512	0.7256
Palau007	Ngermid	166	2003	1.1494	0.7017	0.8066
Palau007	Ngermid	166	2002	1.1199	0.6243	0.6992
Palau007	Ngermid	166	2001	1.1892	0.8344	0.9922
Palau007	Ngermid	166	2000	1.1795	0.6207	0.7321
Palau007	Ngermid	166	1999	1.2188	0.6587	0.8028
Palau007	Ngermid	166	1998	1.2526	0.6017	0.7536
Palau007	Ngermid	166	1997	1.2279	0.7914	0.9717
Palau007	Ngermid	166	1996	1.14	0.5559	0.6337
Palau007	Ngermid	166	1995	1.1906	0.7346	0.8746
Palau007	Ngermid	166	1994	1.118	0.5827	0.6515
Palau007	Ngermid	166	1993	1.1196	0.8491	0.9507
Palau007	Ngermid	166	1992	1.1166	0.7518	0.8395
Palau007	Ngermid	166	1991	1.1205	0.6094	0.6828
Palau007	Ngermid	166	1990	1.1601	0.6207	0.7201
Palau009	Ngermid	168	2010	1.1776	1.0032	1.1813
Palau009	Ngermid	168	2009	1.1662	1.2581	1.4673
Palau009	Ngermid	168	2008	1.154	1.1135	1.2849
Palau009	Ngermid	168	2007	1.1126	1.2349	1.374
Palau009	Ngermid	168	2006	1.0836	1.0218	1.1073
Palau009	Ngermid	168	2005	1.0945	0.8807	0.9639
Palau009	Ngermid	168	2004	1.08	0.8662	0.9355
Palau009	Ngermid	168	2003	1.0798	0.9374	1.0122
Palau009	Ngermid	168	2002	1.0882	1.0865	1.1824
Palau009	Ngermid	168	2001	1.1109	1.1312	1.2566
Palau009	Ngermid	168	2000	1.1469	1.2121	1.3902
Palau009	Ngermid	168	1999	1.1433	1.1032	1.2612
Palau009	Ngermid	168	1998	1.1514	0.9604	1.1059
Palau009	Ngermid	168	1997	1.2108	1.1007	1.3327
Palau009	Ngermid	168	1996	1.1858	1.1786	1.3975
Palau010	Ngermid	169	2010	0.9181	0.6709	0.616
