Sample	DB	LB	RD	PI
Palau233	0.004	0.0029	0.9901	0.003
Palau234	0.006	0.003	0.987	0.004
Palau235	0.004	0.003	0.99	0.003
Palau236	0.0146	0.3957	0.5847	0.005
Palau237	0.005	0.01	0.975	0.01
Palau238	0.0031	0.004	0.9897	0.0031
Palau239	0.98	0.007	0.006	0.007
Palau240	0.0041	0.004	0.9899	0.002
Palau241	0.0035	0.004	0.9905	0.002
Palau242	0.008	0.0044	0.9798	0.0079
Palau243	0.003	0.0029	0.9907	0.0034
Palau244	0.006	0.005	0.986	0.003
Palau245	0.003	0.003	0.992	0.002
Palau246	0.0104	0.0152	0.9684	0.006
Palau247	0.006	0.007	0.984	0.003
Palau248	0.984	0.006	0.004	0.006
Palau250	0.0057	0.006	0.9739	0.0144
Palau251	0.004	0.004	0.9887	0.0033
Palau252	0.005	0.005	0.986	0.004
Palau253	0.9741	0.006	0.0119	0.008
Palau254	0.0484	0.1726	0.7661	0.013
Palau255	0.0206	0.0124	0.964	0.003
Palau256	0.0141	0.1832	0.7967	0.006
Palau257	0.9625	0.0078	0.0238	0.006
Palau258	0.9785	0.004	0.012	0.0055
Palau259	0.003	0.006	0.987	0.004
Palau260	0.006	0.003	0.9857	0.0053
Palau261	0.0069	0.0049	0.9615	0.0267
Palau262	0.012	0.007	0.978	0.003
Palau263	0.004	0.003	0.9009	0.0921
Palau264	0.005	0.009	0.98	0.006
Palau265	0.0389	0.2378	0.7203	0.003
Palau266	0.9826	0.01	0.004	0.0034
Palau267	0.9695	0.0122	0.0142	0.004
Palau268	0.004	0.0081	0.9676	0.0203
Palau269	0.013	0.009	0.9697	0.0083
Palau270	0.937	0.015	0.029	0.019
Palau271	0.0099	0.9741	0.01	0.006
Palau272	0.005	0.9885	0.0035	0.003
Palau273	0.0101	0.9819	0.004	0.004
Palau274	0.0058	0.004	0.9872	0.003
Palau275	0.0223	0.9697	0.005	0.003
Palau276	0.006	0.974	0.013	0.007
Palau277	0.011	0.0635	0.9225	0.003
Palau278	0.0071	0.9879	0.003	0.002
Palau279	0.005	0.989	0.003	0.003
Palau280	0.004	0.9781	0.002	0.0159
Palau281	0.055	0.934	0.005	0.006
Palau282	0.9775	0.011	0.007	0.0045
Palau283	0.0371	0.7953	0.1585	0.009
Palau284	0.004	0.986	0.006	0.004
Palau285	0.01	0.982	0.003	0.005
Palau286	0.0059	0.9207	0.008	0.0655
Palau287	0.005	0.988	0.004	0.003
Palau288	0.004	0.989	0.004	0.003
Palau289	0.011	0.982	0.004	0.003
Palau290	0.0031	0.9899	0.004	0.003
Palau291	0.0417	0.811	0.0866	0.0606
Palau292	0.0077	0.9848	0.0045	0.003
Palau293	0.004	0.008	0.004	0.984
Palau294	0.004	0.003	0.003	0.99
Palau306	0.0051	0.9869	0.005	0.003
Palau307	0.0701	0.9179	0.007	0.005
Palau308	0.007	0.981	0.009	0.003
Palau309	0.9876	0.0044	0.004	0.004
Palau310	0.004	0.988	0.005	0.003
Palau311	0.007	0.975	0.008	0.01
Palau312	0.011	0.9819	0.0031	0.004
Palau313	0.008	0.985	0.002	0.005
Palau314	0.004	0.989	0.005	0.002
Palau031	0.0028	0.002	0.9932	0.002
Palau032	0.0726	0.016	0.688	0.2234
Palau033	0.027	0.967	0.003	0.003
Palau034	0.01	0.0161	0.9679	0.006
Palau035	0.012	0.0323	0.9527	0.003
Palau036	0.0444	0.5027	0.4497	0.0033
Palau037	0.009	0.9789	0.0091	0.003
Palau038	0.006	0.0102	0.9769	0.0069
Palau039	0.056	0.937	0.004	0.003
Palau040	0.9739	0.007	0.0104	0.0087
Palau041	0.0057	0.0319	0.9529	0.0095
Palau042	0.012	0.979	0.005	0.004
Palau045	0.0711	0.841	0.0184	0.0695
Palau046	0.0451	0.9171	0.0309	0.0069
Palau047	0.759	0.0614	0.092	0.0876
Palau050	0.0434	0.018	0.9336	0.005
Palau051	0.0071	0.9859	0.004	0.003
Palau102	0.9656	0.0066	0.0227	0.005
Palau103	0.005	0.9637	0.0272	0.004
Palau104	0.9141	0.009	0.008	0.0689
Palau105	0.005	0.986	0.005	0.004
Palau106	0.9699	0.0099	0.0102	0.01
Palau108	0.9764	0.0086	0.012	0.003
Palau109	0.009	0.9595	0.0275	0.004
Palau110	0.005	0.9848	0.0072	0.003
Palau111	0.0377	0.9434	0.0149	0.004
Palau112	0.005	0.9851	0.0069	0.003
Palau113	0.012	0.979	0.003	0.006
Palau114	0.006	0.987	0.004	0.003
Palau115N	0.9651	0.0269	0.003	0.005
Palau116N	0.0204	0.9598	0.003	0.0169
Palau117N	0.013	0.0242	0.9214	0.0414
Palau332	0.006	0.9817	0.006	0.0063
Palau333	0.009	0.9841	0.002	0.0049
Palau334	0.0037	0.9893	0.003	0.004
Palau335	0.973	0.013	0.008	0.006
Palau336	0.98	0.007	0.008	0.005
Palau337	0.005	0.986	0.003	0.006
Palau338	0.013	0.976	0.003	0.008
Palau339	0.009	0.9825	0.0055	0.003
Palau340	0.007	0.986	0.004	0.003
Palau341	0.0184	0.9753	0.0024	0.004
Palau342	0.9849	0.005	0.0061	0.004
Palau343	0.005	0.9885	0.003	0.0035
Palau344	0.0037	0.9913	0.002	0.003
Palau345	0.988	0.004	0.005	0.003
Palau346	0.011	0.9726	0.0079	0.0085
Palau007	0.9869	0.0051	0.005	0.003
Palau008	0.8978	0.0662	0.023	0.013
Palau009	0.0075	0.9815	0.006	0.005
Palau010	0.011	0.9463	0.038	0.0047
Palau012	0.0203	0.007	0.9677	0.005
Palau013	0.656	0.01	0.3278	0.0063
Palau014	0.0155	0.0276	0.9529	0.004
Palau015	0.0233	0.9562	0.0155	0.005
Palau016	0.9694	0.0155	0.011	0.0041
Palau145	0.8305	0.0935	0.023	0.053
Palau146	0.0264	0.9567	0.003	0.0139
Palau147	0.975	0.008	0.009	0.008
Palau148	0.0724	0.8892	0.0335	0.005
Palau149	0.7626	0.048	0.0646	0.1247
Palau150	0.9793	0.0119	0.004	0.0049
Palau151	0.9694	0.009	0.0166	0.005
Palau152	0.0311	0.7768	0.0057	0.1864
Palau153	0.9751	0.006	0.0049	0.014
Palau154	0.8476	0.003	0.0133	0.1361
Palau155	0.975	0.0198	0.0033	0.002
Palau156	0.9798	0.0132	0.004	0.003
Palau157	0.9084	0.056	0.0306	0.005
Palau158	0.9889	0.0035	0.0046	0.003
Palau159	0.005	0.003	0.004	0.988
Palau160	0.1061	0.8733	0.0156	0.005
Palau161	0.009	0.9719	0.0141	0.005
Palau162	0.7775	0.1958	0.013	0.0137
Palau163	0.912	0.0733	0.011	0.0037
Palau164	0.8005	0.1815	0.014	0.004
Palau165	0.983	0.0052	0.0077	0.004
Palau166	0.9206	0.011	0.063	0.0054
Palau167	0.013	0.98	0.004	0.003
Palau168	0.0229	0.9646	0.0095	0.003
Palau169	0.0516	0.8521	0.058	0.0383
Palau170	0.978	0.007	0.006	0.009
Palau171	0.987	0.007	0.003	0.003
Palau172	0.003	0.004	0.003	0.99
Palau173	0.0156	0.9685	0.0099	0.006
Palau174	0.0131	0.9749	0.007	0.005
Palau175	0.004	0.0597	0.004	0.9323
Palau176	0.3866	0.6004	0.008	0.005
Palau177	0.9859	0.0055	0.004	0.0046
Palau178	0.9606	0.0264	0.006	0.007
Palau179	0.8702	0.0415	0.0823	0.006
Palau180	0.005	0.002	0.005	0.988
Palau181	0.9566	0.0157	0.0216	0.006
Palau182	0.0088	0.9802	0.008	0.003
Palau183	0.0149	0.687	0.2878	0.0104
Palau184	0.041	0.943	0.013	0.003
Palau185	0.775	0.217	0.004	0.004
Palau186	0.7221	0.2632	0.003	0.0118
Palau187	0.012	0.9751	0.0099	0.003
Palau188	0.0554	0.0401	0.0358	0.8687
Palau189	0.9818	0.005	0.007	0.0062
Palau190	0.9367	0.0101	0.005	0.0481
Palau191	0.5312	0.042	0.4218	0.005
Palau192	0.0147	0.0047	0.006	0.9745
Palau193	0.0531	0.9045	0.008	0.0344
Palau194	0.005	0.0037	0.0129	0.9784
Palau196	0.988	0.004	0.004	0.004
Palau197	0.987	0.007	0.003	0.003
Palau198	0.987	0.004	0.003	0.006
Palau199	0.984	0.0089	0.0031	0.004
Palau200	0.1216	0.8664	0.005	0.007
Palau201	0.8696	0.029	0.0985	0.003
Palau202	0.9881	0.0048	0.0041	0.003
Palau203	0.988	0.005	0.004	0.003
Palau295	0.613	0.0231	0.2343	0.1296
Palau296	0.9626	0.0214	0.01	0.006
Palau297	0.9575	0.007	0.0311	0.0044
Palau298	0.97	0.017	0.009	0.004
Palau299	0.9822	0.0058	0.009	0.003
Palau300	0.9846	0.0056	0.0067	0.003
Palau301	0.7892	0.1998	0.004	0.007
Palau302	0.9487	0.0403	0.007	0.004
Palau303	0.984	0.008	0.004	0.004
Palau304	0.981	0.005	0.01	0.004
Palau305	0.0695	0.7443	0.175	0.0112
Palau001	0.99	0.004	0.003	0.003
Palau002	0.984	0.008	0.005	0.003
Palau003	0.9741	0.0141	0.0059	0.0059
Palau004	0.98	0.008	0.008	0.004
Palau005	0.981	0.009	0.007	0.003
Palau027	0.7797	0.1993	0.016	0.005
Palau029	0.9364	0.0556	0.005	0.003
Palau030	0.983	0.009	0.004	0.004
Palau082	0.8816	0.0864	0.018	0.014
Palau083	0.988	0.004	0.005	0.003
Palau084	0.969	0.01	0.0145	0.0065
Palau085	0.9136	0.0752	0.0061	0.005
Palau086	0.987	0.005	0.006	0.002
Palau087	0.0118	0.003	0.004	0.9812
Palau088	0.9745	0.004	0.0141	0.0074
Palau089	0.984	0.008	0.005	0.003
Palau090	0.9272	0.009	0.0598	0.004
Palau091	0.9736	0.0064	0.01	0.01
Palau092	0.95	0.0248	0.0191	0.0061
Palau094	0.0435	0.9415	0.006	0.009
Palau095	0.9545	0.024	0.004	0.0175
Palau096	0.0164	0.9605	0.019	0.0041
Palau097	0.9712	0.012	0.006	0.0108
Palau098	0.9499	0.0099	0.0362	0.004
Palau099	0.011	0.9774	0.0033	0.0084
Palau100	0.008	0.005	0.003	0.984
Palau101	0.9828	0.005	0.004	0.0082
Palau053	0.887	0.106	0.003	0.004
Palau054	0.9592	0.0154	0.0104	0.015
Palau055	0.9365	0.013	0.0405	0.01
Palau056	0.9474	0.0426	0.005	0.005
Palau057	0.9745	0.016	0.0055	0.004
Palau058	0.9859	0.007	0.0031	0.004
Palau059	0.945	0.0381	0.0119	0.005
Palau060	0.9779	0.0091	0.009	0.004
Palau061	0.9624	0.0114	0.0202	0.006
Palau062	0.9374	0.0074	0.0482	0.007
Palau063	0.008	0.9777	0.005	0.0093
Palau064	0.99	0.003	0.004	0.003
Palau065	0.005	0.002	0.1821	0.8109
Palau067	0.2668	0.0505	0.6757	0.007
Palau068	0.0505	0.0612	0.7233	0.165
Palau069	0.966	0.022	0.006	0.006
Palau070	0.5991	0.3428	0.0118	0.0463
Palau073	0.9746	0.0089	0.0135	0.003
Palau116	0.8881	0.006	0.0195	0.0864
Palau117	0.988	0.006	0.003	0.003
Palau118	0.9546	0.0264	0.005	0.014
Palau119	0.9701	0.0219	0.004	0.004
Palau120	0.9648	0.011	0.0192	0.005
Palau121	0.9615	0.0256	0.0091	0.0038
Palau122	0.9657	0.005	0.0263	0.003
Palau123	0.986	0.004	0.007	0.003
Palau124	0.8775	0.0177	0.0229	0.0819
Palau125	0.9846	0.0034	0.009	0.003
Palau126	0.8586	0.005	0.1324	0.004
Palau127	0.981	0.006	0.006	0.007
Palau128	0.9093	0.0584	0.0066	0.0257
Palau129	0.923	0.009	0.058	0.01
Palau130	0.0151	0.9699	0.012	0.003
Palau131	0.9826	0.0074	0.004	0.006
Palau132	0.005	0.984	0.008	0.003
Palau134	0.9851	0.004	0.0059	0.005
Palau135	0.9866	0.0064	0.004	0.003
Palau136	0.9783	0.003	0.0097	0.009
Palau137	0.9591	0.005	0.0274	0.0085
Palau139	0.004	0.9771	0.0099	0.009
Palau140	0.9464	0.0131	0.0266	0.0139
Palau141	0.0135	0.9735	0.006	0.007
