vcf_sample	Sample
PopDropOff_DO13	DO13
PopDropOff_DO18	DO18
PopDropOff_DO19	DO19
PopDropOff_DO1	DO1
PopDropOff_DO24	DO24
PopDropOff_DO25	DO25
PopDropOff_DO27	DO27
PopDropOff_DO30	DO30
PopDropOff_DO5	DO5
PopDropOff_DO7	DO7
PopDropOff_DO9	DO9
PopDropOff_Palau053	Palau053
PopDropOff_Palau061	Palau061
PopDropOff_Palau088	Palau088
PopDropOff_Palau092	Palau092
PopDropOff_Palau101	Palau101
PopDropOff_Palau141246	Palau054
PopDropOff_Palau141254	Palau062
PopDropOff_Palau141256	Palau064
PopHelen_Palau165	Palau165
PopHelen_Palau169	Palau169
PopHelen_Palau176	Palau176
PopHelen_Palau188	Palau188
PopHelen_Palau200	Palau200
PopKayangel_Palau206	Palau206
PopKayangel_Palau207	Palau207
PopKayangel_Palau214	Palau214
PopKayangel_Palau215	Palau215
PopKayangel_Palau217	Palau217
PopKayangel_Palau230	Palau230
PopKayangel_Palau231	Palau231
PopMecheChan_M13	M13
PopMecheChan_M1	M1
PopMecheChan_M26	M26
PopMecheChan_M2	M2
PopMecheChan_M30	M30
PopMecheChan_M3	M3
PopMecheChan_M5	M5
PopMecheChan_M6	M6
PopMecheChan_M9	M9
PopMecherchar_Palau234	Palau234
PopMecherchar_Palau236	Palau236
PopMecherchar_Palau239	Palau239
PopMecherchar_Palau264	Palau264
PopMecherchar_Palau265	Palau265
PopMecherchar_Palau266	Palau266
PopMecherchar_Palau267	Palau267
PopMecherchar_Palau268	Palau268
PopMecherchar_Palau270	Palau270
PopMecherchar_Palau271	Palau271
PopMecherchar_Palau272	Palau272
PopMecherchar_Palau273	Palau273
PopNgelsible_X12	X12
PopNgelsible_X13	X13
PopNgelsible_X14	X14
PopNgelsible_X18	X18
PopNgelsible_X19	X19
PopNgelsible_X1	X1
PopNgelsible_X20	X20
PopNgelsible_X23	X23
PopNgelsible_X24	X24
PopNgelsible_X25	X25
PopNgelsible_X27	X27
PopNgelsible_X28	X28
PopNgelsible_X29	X29
PopNgelsible_X30	X30
PopNgelsible_X4	X4
PopNgelsible_X6	X6
PopNgelsible_X7	X7
PopNgelsible_X9	X9
PopNgerchelong_Palau349	Palau349
PopNgerchelong_Palau350	Palau350
PopNgerchelong_Palau353	Palau353
PopNgerchelong_Palau354	Palau354
PopNgermid_N21	N21
PopNgermid_N28	N28
PopNgermid_N3	N3
PopNgermid_N4	N4
PopNgermid_N5	N5
PopNgermid_N6	N6
PopNgermid_N7	N7
PopNgermid_Palau013	Palau013
PopNgermid_Palau102	Palau102
PopNgermid_Palau108	Palau108
PopNgermid_Palau109	Palau109
PopNgermid_Palau111	Palau111
PopNgermid_Palau112	Palau112
PopNgermid_Palau113	Palau113
PopNgermid_Palau114	Palau114
PopNgermid_Palau115N	Palau115N
PopNgermid_Palau116N	Palau116N
PopNgermid_Palau141202	Palau008
PopNgermid_Palau334	Palau334
PopNgermid_Palau343	Palau343
PopNgermid_Palau346	Palau346
PopOuterTaoch_OT6	OT6
PopOuterTaoch_OT8	OT8
PopOuterTaoch_OT9	OT9
PopOuterTaoch_Palau296	Palau296
PopOuterTaoch_Palau301	Palau301
PopOuterTaoch_Palau304	Palau304
PopRisong_Palau034	Palau034
PopRisong_Palau038	Palau038
PopRisong_Palau039	Palau039
PopRisong_Palau040	Palau040
PopRisong_Palau041	Palau041
PopRisong_R13	R13
PopRisong_R16	R16
PopRisong_R1	R1
PopRisong_R21	R21
PopRisong_R23	R23
PopRisong_R27	R27
PopRisong_R28	R28
PopRisong_R29	R29
PopRisong_R2	R2
PopRisong_R30	R30
PopTaoch_Palau276	Palau276
PopTaoch_Palau293	Palau293
PopTaoch_Palau294	Palau294
PopTaoch_Palau306	Palau306
PopTaoch_Palau308	Palau308
PopTaoch_Palau309	Palau309
PopTaoch_Palau314	Palau314
PopTaoch_T11	T11
PopTaoch_T14	T14
PopTaoch_T15	T15
PopTaoch_T16	T16
PopTaoch_T17	T17
PopTaoch_T19	T19
PopTaoch_T1	T1
PopTaoch_T20	T20
PopTaoch_T2	T2
PopTaoch_T3	T3
PopTaoch_T4	T4
PopTaoch_T5	T5
PopTaoch_T6	T6
PopTaoch_T7	T7
