Month	Date	Day	Week	Season	Sample	Year	Temperature
8	30	243	35	3	1	2014	29.265
8	30	243	35	3	2	2014	29.29
8	30	243	35	3	3	2014	29.265
8	30	243	35	3	4	2014	29.315
8	30	243	35	3	5	2014	29.315
8	30	243	35	3	6	2014	29.29
8	30	243	35	3	7	2014	29.34
8	30	243	35	3	8	2014	29.365
8	30	243	35	3	9	2014	29.389
8	30	243	35	3	10	2014	29.389
8	30	243	35	3	11	2014	29.389
8	30	243	35	3	12	2014	29.414
8	30	243	35	3	13	2014	29.389
8	30	243	35	3	14	2014	29.365
8	30	243	35	3	15	2014	29.315
8	30	243	35	3	16	2014	29.315
8	30	243	35	3	17	2014	29.365
8	30	243	35	3	18	2014	29.365
8	30	243	35	3	19	2014	29.365
8	30	243	35	3	20	2014	29.365
8	30	243	35	3	21	2014	29.34
8	30	243	35	3	22	2014	29.315
8	30	243	35	3	23	2014	29.24
8	30	243	35	3	24	2014	29.265
8	30	243	35	3	25	2014	29.29
8	30	243	35	3	26	2014	29.265
8	30	243	35	3	27	2014	29.24
8	30	243	35	3	28	2014	29.24
8	30	243	35	3	29	2014	29.215
8	30	243	35	3	30	2014	29.24
8	30	243	35	3	31	2014	29.24
8	30	243	35	3	32	2014	29.215
8	30	243	35	3	33	2014	29.14
8	30	243	35	3	34	2014	29.115
8	30	243	35	3	35	2014	29.14
8	30	243	35	3	36	2014	29.14
8	30	243	35	3	37	2014	29.165
8	30	243	35	3	38	2014	29.19
8	30	243	35	3	39	2014	29.19
8	30	243	35	3	40	2014	29.19
8	30	243	35	3	41	2014	29.215
8	30	243	35	3	42	2014	29.19
8	30	243	35	3	43	2014	29.165
8	30	243	35	3	44	2014	29.165
8	30	243	35	3	45	2014	29.165
8	30	243	35	3	46	2014	29.165
8	30	243	35	3	47	2014	29.14
8	30	243	35	3	48	2014	29.115
8	31	244	35	3	1	2014	29.115
8	31	244	35	3	2	2014	29.09
8	31	244	35	3	3	2014	29.09
8	31	244	35	3	4	2014	29.04
8	31	244	35	3	5	2014	29.065
8	31	244	35	3	6	2014	29.065
8	31	244	35	3	7	2014	29.09
8	31	244	35	3	8	2014	29.065
8	31	244	35	3	9	2014	29.065
8	31	244	35	3	10	2014	29.065
8	31	244	35	3	11	2014	29.065
8	31	244	35	3	12	2014	29.015
8	31	244	35	3	13	2014	29.015
8	31	244	35	3	14	2014	29.09
8	31	244	35	3	15	2014	29.09
8	31	244	35	3	16	2014	29.09
8	31	244	35	3	17	2014	29.115
8	31	244	35	3	18	2014	29.115
8	31	244	35	3	19	2014	29.115
8	31	244	35	3	20	2014	29.115
8	31	244	35	3	21	2014	29.115
8	31	244	35	3	22	2014	29.115
8	31	244	35	3	23	2014	29.115
8	31	244	35	3	24	2014	29.115
8	31	244	35	3	25	2014	29.115
8	31	244	35	3	26	2014	29.115
8	31	244	35	3	27	2014	29.115
8	31	244	35	3	28	2014	29.115
8	31	244	35	3	29	2014	29.09
8	31	244	35	3	30	2014	29.065
8	31	244	35	3	31	2014	29.065
8	31	244	35	3	32	2014	29.065
8	31	244	35	3	33	2014	29.04
8	31	244	35	3	34	2014	29.04
8	31	244	35	3	35	2014	29.04
8	31	244	35	3	36	2014	29.04
8	31	244	35	3	37	2014	29.015
8	31	244	35	3	38	2014	28.99
8	31	244	35	3	39	2014	28.965
8	31	244	35	3	40	2014	28.99
8	31	244	35	3	41	2014	28.99
8	31	244	35	3	42	2014	28.99
8	31	244	35	3	43	2014	28.99
8	31	244	35	3	44	2014	28.99
8	31	244	35	3	45	2014	28.99
8	31	244	35	3	46	2014	28.965
8	31	244	35	3	47	2014	28.99
8	31	244	35	3	48	2014	28.99
9	1	245	35	3	1	2014	28.965
9	1	245	35	3	2	2014	28.99
9	1	245	35	3	3	2014	28.965
9	1	245	35	3	4	2014	28.965
9	1	245	35	3	5	2014	28.965
9	1	245	35	3	6	2014	28.965
9	1	245	35	3	7	2014	28.965
9	1	245	35	3	8	2014	28.965
9	1	245	35	3	9	2014	28.965
9	1	245	35	3	10	2014	28.965
9	1	245	35	3	11	2014	28.965
9	1	245	35	3	12	2014	28.965
9	1	245	35	3	13	2014	28.891
9	1	245	35	3	14	2014	28.916
9	1	245	35	3	15	2014	28.941
9	1	245	35	3	16	2014	28.965
9	1	245	35	3	17	2014	28.99
9	1	245	35	3	18	2014	28.99
9	1	245	35	3	19	2014	28.99
9	1	245	35	3	20	2014	28.99
9	1	245	35	3	21	2014	29.015
9	1	245	35	3	22	2014	28.99
9	1	245	35	3	23	2014	29.015
9	1	245	35	3	24	2014	29.015
9	1	245	35	3	25	2014	29.04
9	1	245	35	3	26	2014	29.04
9	1	245	35	3	27	2014	29.065
9	1	245	35	3	28	2014	29.065
9	1	245	35	3	29	2014	29.065
9	1	245	35	3	30	2014	29.065
9	1	245	35	3	31	2014	29.065
9	1	245	35	3	32	2014	29.04
9	1	245	35	3	33	2014	29.04
9	1	245	35	3	34	2014	29.04
9	1	245	35	3	35	2014	29.04
9	1	245	35	3	36	2014	29.04
9	1	245	35	3	37	2014	29.04
9	1	245	35	3	38	2014	29.04
9	1	245	35	3	39	2014	29.04
9	1	245	35	3	40	2014	29.04
9	1	245	35	3	41	2014	29.015
9	1	245	35	3	42	2014	29.015
9	1	245	35	3	43	2014	29.015
9	1	245	35	3	44	2014	29.015
9	1	245	35	3	45	2014	29.015
9	1	245	35	3	46	2014	29.015
9	1	245	35	3	47	2014	28.99
9	1	245	35	3	48	2014	29.015
9	2	246	36	3	1	2014	29.015
9	2	246	36	3	2	2014	29.015
9	2	246	36	3	3	2014	29.015
9	2	246	36	3	4	2014	29.015
9	2	246	36	3	5	2014	29.015
9	2	246	36	3	6	2014	29.015
9	2	246	36	3	7	2014	29.015
9	2	246	36	3	8	2014	29.015
9	2	246	36	3	9	2014	28.99
9	2	246	36	3	10	2014	28.99
9	2	246	36	3	11	2014	28.99
9	2	246	36	3	12	2014	28.965
9	2	246	36	3	13	2014	28.965
9	2	246	36	3	14	2014	28.965
9	2	246	36	3	15	2014	28.965
9	2	246	36	3	16	2014	28.965
9	2	246	36	3	17	2014	28.965
9	2	246	36	3	18	2014	28.941
9	2	246	36	3	19	2014	28.941
9	2	246	36	3	20	2014	28.916
9	2	246	36	3	21	2014	28.916
9	2	246	36	3	22	2014	28.916
9	2	246	36	3	23	2014	28.891
9	2	246	36	3	24	2014	28.866
9	2	246	36	3	25	2014	28.866
9	2	246	36	3	26	2014	28.866
9	2	246	36	3	27	2014	28.816
9	2	246	36	3	28	2014	28.816
9	2	246	36	3	29	2014	28.866
9	2	246	36	3	30	2014	28.916
9	2	246	36	3	31	2014	28.916
9	2	246	36	3	32	2014	28.916
9	2	246	36	3	33	2014	28.916
9	2	246	36	3	34	2014	28.916
9	2	246	36	3	35	2014	28.916
9	2	246	36	3	36	2014	28.916
9	2	246	36	3	37	2014	28.916
9	2	246	36	3	38	2014	28.916
9	2	246	36	3	39	2014	28.916
9	2	246	36	3	40	2014	28.916
9	2	246	36	3	41	2014	28.891
9	2	246	36	3	42	2014	28.891
9	2	246	36	3	43	2014	28.891
9	2	246	36	3	44	2014	28.866
9	2	246	36	3	45	2014	28.891
9	2	246	36	3	46	2014	28.891
9	2	246	36	3	47	2014	28.891
9	2	246	36	3	48	2014	28.916
9	3	247	36	3	1	2014	28.916
9	3	247	36	3	2	2014	28.916
9	3	247	36	3	3	2014	28.891
9	3	247	36	3	4	2014	28.841
9	3	247	36	3	5	2014	28.891
9	3	247	36	3	6	2014	28.891
9	3	247	36	3	7	2014	28.916
9	3	247	36	3	8	2014	28.866
9	3	247	36	3	9	2014	28.866
9	3	247	36	3	10	2014	28.841
9	3	247	36	3	11	2014	28.791
9	3	247	36	3	12	2014	28.816
9	3	247	36	3	13	2014	28.791
9	3	247	36	3	14	2014	28.791
9	3	247	36	3	15	2014	28.816
9	3	247	36	3	16	2014	28.816
9	3	247	36	3	17	2014	28.816
9	3	247	36	3	18	2014	28.816
9	3	247	36	3	19	2014	28.841
9	3	247	36	3	20	2014	28.841
9	3	247	36	3	21	2014	28.866
9	3	247	36	3	22	2014	28.891
9	3	247	36	3	23	2014	28.916
9	3	247	36	3	24	2014	28.916
9	3	247	36	3	25	2014	28.916
9	3	247	36	3	26	2014	28.916
9	3	247	36	3	27	2014	28.916
9	3	247	36	3	28	2014	28.891
9	3	247	36	3	29	2014	28.891
9	3	247	36	3	30	2014	28.891
9	3	247	36	3	31	2014	28.916
9	3	247	36	3	32	2014	28.941
9	3	247	36	3	33	2014	28.941
9	3	247	36	3	34	2014	28.965
9	3	247	36	3	35	2014	28.99
9	3	247	36	3	36	2014	29.015
9	3	247	36	3	37	2014	29.015
9	3	247	36	3	38	2014	29.015
9	3	247	36	3	39	2014	28.99
9	3	247	36	3	40	2014	28.965
9	3	247	36	3	41	2014	28.965
9	3	247	36	3	42	2014	28.965
9	3	247	36	3	43	2014	28.965
9	3	247	36	3	44	2014	28.916
9	3	247	36	3	45	2014	28.941
9	3	247	36	3	46	2014	28.941
9	3	247	36	3	47	2014	28.941
9	3	247	36	3	48	2014	28.916
9	4	248	36	3	1	2014	28.916
9	4	248	36	3	2	2014	28.891
9	4	248	36	3	3	2014	28.841
9	4	248	36	3	4	2014	28.891
9	4	248	36	3	5	2014	28.891
9	4	248	36	3	6	2014	28.866
9	4	248	36	3	7	2014	28.866
9	4	248	36	3	8	2014	28.866
9	4	248	36	3	9	2014	28.866
9	4	248	36	3	10	2014	28.866
9	4	248	36	3	11	2014	28.866
9	4	248	36	3	12	2014	28.866
9	4	248	36	3	13	2014	28.841
9	4	248	36	3	14	2014	28.841
9	4	248	36	3	15	2014	28.791
9	4	248	36	3	16	2014	28.816
9	4	248	36	3	17	2014	28.866
9	4	248	36	3	18	2014	28.891
9	4	248	36	3	19	2014	28.891
9	4	248	36	3	20	2014	28.916
9	4	248	36	3	21	2014	28.916
9	4	248	36	3	22	2014	28.916
9	4	248	36	3	23	2014	28.916
9	4	248	36	3	24	2014	28.916
9	4	248	36	3	25	2014	28.941
9	4	248	36	3	26	2014	28.965
9	4	248	36	3	27	2014	28.916
9	4	248	36	3	28	2014	28.965
9	4	248	36	3	29	2014	28.965
9	4	248	36	3	30	2014	29.04
9	4	248	36	3	31	2014	29.04
9	4	248	36	3	32	2014	29.04
9	4	248	36	3	33	2014	29.04
9	4	248	36	3	34	2014	29.015
9	4	248	36	3	35	2014	28.965
9	4	248	36	3	36	2014	28.965
9	4	248	36	3	37	2014	28.99
9	4	248	36	3	38	2014	29.04
9	4	248	36	3	39	2014	29.04
9	4	248	36	3	40	2014	29.04
9	4	248	36	3	41	2014	29.04
9	4	248	36	3	42	2014	29.04
9	4	248	36	3	43	2014	29.04
9	4	248	36	3	44	2014	29.015
9	4	248	36	3	45	2014	29.04
9	4	248	36	3	46	2014	29.015
9	4	248	36	3	47	2014	28.965
9	4	248	36	3	48	2014	29.015
9	5	249	36	3	1	2014	28.99
9	5	249	36	3	2	2014	29.015
9	5	249	36	3	3	2014	29.015
9	5	249	36	3	4	2014	28.99
9	5	249	36	3	5	2014	28.99
9	5	249	36	3	6	2014	28.99
9	5	249	36	3	7	2014	28.99
9	5	249	36	3	8	2014	28.99
9	5	249	36	3	9	2014	28.99
9	5	249	36	3	10	2014	28.99
9	5	249	36	3	11	2014	28.965
9	5	249	36	3	12	2014	28.965
9	5	249	36	3	13	2014	28.965
9	5	249	36	3	14	2014	28.965
9	5	249	36	3	15	2014	28.965
9	5	249	36	3	16	2014	28.941
9	5	249	36	3	17	2014	28.965
9	5	249	36	3	18	2014	28.965
9	5	249	36	3	19	2014	28.965
9	5	249	36	3	20	2014	28.99
9	5	249	36	3	21	2014	28.99
9	5	249	36	3	22	2014	28.99
9	5	249	36	3	23	2014	28.99
9	5	249	36	3	24	2014	28.99
9	5	249	36	3	25	2014	28.99
9	5	249	36	3	26	2014	29.015
9	5	249	36	3	27	2014	29.015
9	5	249	36	3	28	2014	29.04
9	5	249	36	3	29	2014	29.015
9	5	249	36	3	30	2014	29.04
9	5	249	36	3	31	2014	29.04
9	5	249	36	3	32	2014	29.015
9	5	249	36	3	33	2014	29.015
9	5	249	36	3	34	2014	29.015
9	5	249	36	3	35	2014	29.015
9	5	249	36	3	36	2014	29.015
9	5	249	36	3	37	2014	29.015
9	5	249	36	3	38	2014	29.015
9	5	249	36	3	39	2014	29.015
9	5	249	36	3	40	2014	29.04
9	5	249	36	3	41	2014	29.04
9	5	249	36	3	42	2014	29.015
9	5	249	36	3	43	2014	29.015
9	5	249	36	3	44	2014	29.015
9	5	249	36	3	45	2014	29.015
9	5	249	36	3	46	2014	28.99
9	5	249	36	3	47	2014	28.99
9	5	249	36	3	48	2014	28.99
9	6	250	36	3	1	2014	28.99
9	6	250	36	3	2	2014	28.965
9	6	250	36	3	3	2014	28.965
9	6	250	36	3	4	2014	28.965
9	6	250	36	3	5	2014	28.965
9	6	250	36	3	6	2014	28.965
9	6	250	36	3	7	2014	28.99
9	6	250	36	3	8	2014	28.965
9	6	250	36	3	9	2014	28.965
9	6	250	36	3	10	2014	28.916
9	6	250	36	3	11	2014	28.866
9	6	250	36	3	12	2014	28.841
9	6	250	36	3	13	2014	28.891
9	6	250	36	3	14	2014	28.841
9	6	250	36	3	15	2014	28.916
9	6	250	36	3	16	2014	28.841
9	6	250	36	3	17	2014	28.866
9	6	250	36	3	18	2014	28.891
9	6	250	36	3	19	2014	28.916
9	6	250	36	3	20	2014	28.965
9	6	250	36	3	21	2014	28.965
9	6	250	36	3	22	2014	28.99
9	6	250	36	3	23	2014	28.99
9	6	250	36	3	24	2014	29.015
9	6	250	36	3	25	2014	29.015
9	6	250	36	3	26	2014	28.99
9	6	250	36	3	27	2014	28.916
9	6	250	36	3	28	2014	28.965
9	6	250	36	3	29	2014	28.965
9	6	250	36	3	30	2014	28.965
9	6	250	36	3	31	2014	28.965
9	6	250	36	3	32	2014	28.965
9	6	250	36	3	33	2014	28.965
9	6	250	36	3	34	2014	28.99
