Month	Date	Day	Week	Season	Sample	Year	Temperature
4	25	116	17	2	1	2011	31.18
4	25	116	17	2	2	2011	31.15
4	25	116	17	2	3	2011	31.13
4	25	116	17	2	4	2011	31.15
4	25	116	17	2	5	2011	31.13
4	25	116	17	2	6	2011	31.13
4	25	116	17	2	7	2011	31.13
4	25	116	17	2	8	2011	31.13
4	25	116	17	2	9	2011	31.13
4	25	116	17	2	10	2011	31.1
4	25	116	17	2	11	2011	31.03
4	25	116	17	2	12	2011	30.98
4	25	116	17	2	13	2011	31
4	25	116	17	2	14	2011	31.05
4	25	116	17	2	15	2011	31.05
4	25	116	17	2	16	2011	31.05
4	25	116	17	2	17	2011	31.13
4	25	116	17	2	18	2011	31.08
4	25	116	17	2	19	2011	31.13
4	25	116	17	2	20	2011	31.13
4	25	116	17	2	21	2011	31.15
4	25	116	17	2	22	2011	31.43
4	25	116	17	2	23	2011	31.48
4	25	116	17	2	24	2011	31.31
4	25	116	17	2	25	2011	31.26
4	25	116	17	2	26	2011	31.2
4	25	116	17	2	27	2011	31.36
4	25	116	17	2	28	2011	31.54
4	25	116	17	2	29	2011	31.33
4	25	116	17	2	30	2011	31.26
4	25	116	17	2	31	2011	31.28
4	25	116	17	2	32	2011	31.33
4	25	116	17	2	33	2011	31.31
4	25	116	17	2	34	2011	31.36
4	25	116	17	2	35	2011	31.33
4	25	116	17	2	36	2011	31.33
4	25	116	17	2	37	2011	31.33
4	25	116	17	2	38	2011	31.33
4	25	116	17	2	39	2011	31.31
4	25	116	17	2	40	2011	31.31
4	25	116	17	2	41	2011	31.31
4	25	116	17	2	42	2011	31.28
4	25	116	17	2	43	2011	31.26
4	25	116	17	2	44	2011	31.23
4	25	116	17	2	45	2011	31.2
4	25	116	17	2	46	2011	31.2
4	25	116	17	2	47	2011	31.15
4	25	116	17	2	48	2011	31.08
4	26	117	17	2	1	2011	31.08
4	26	117	17	2	2	2011	31.05
4	26	117	17	2	3	2011	31.03
4	26	117	17	2	4	2011	31
4	26	117	17	2	5	2011	31
4	26	117	17	2	6	2011	31
4	26	117	17	2	7	2011	30.95
4	26	117	17	2	8	2011	30.93
4	26	117	17	2	9	2011	30.9
4	26	117	17	2	10	2011	30.9
4	26	117	17	2	11	2011	30.82
4	26	117	17	2	12	2011	30.77
4	26	117	17	2	13	2011	30.67
4	26	117	17	2	14	2011	30.67
4	26	117	17	2	15	2011	30.67
4	26	117	17	2	16	2011	30.7
4	26	117	17	2	17	2011	30.82
4	26	117	17	2	18	2011	30.87
4	26	117	17	2	19	2011	31.1
4	26	117	17	2	20	2011	31.23
4	26	117	17	2	21	2011	31.23
