Sample	Month	Day	Year	Season	Temperature
1	9	19	2011	3	NA
2	9	19	2011	3	NA
3	9	19	2011	3	NA
4	9	19	2011	3	NA
5	9	19	2011	3	NA
6	9	19	2011	3	NA
7	9	19	2011	3	NA
8	9	19	2011	3	NA
9	9	19	2011	3	NA
10	9	19	2011	3	NA
11	9	19	2011	3	NA
12	9	19	2011	3	NA
13	9	19	2011	3	NA
14	9	19	2011	3	NA
15	9	19	2011	3	NA
16	9	19	2011	3	NA
17	9	19	2011	3	NA
18	9	19	2011	3	NA
19	9	19	2011	3	NA
20	9	19	2011	3	NA
21	9	19	2011	3	NA
22	9	19	2011	3	NA
23	9	19	2011	3	NA
24	9	19	2011	3	NA
25	9	19	2011	3	NA
26	9	19	2011	3	NA
27	9	19	2011	3	NA
28	9	19	2011	3	NA
29	9	19	2011	3	NA
30	9	19	2011	3	NA
31	9	19	2011	3	NA
32	9	19	2011	3	NA
33	9	19	2011	3	NA
34	9	19	2011	3	NA
35	9	19	2011	3	NA
36	9	19	2011	3	NA
37	9	19	2011	3	NA
38	9	19	2011	3	NA
39	9	19	2011	3	NA
40	9	19	2011	3	NA
41	9	19	2011	3	NA
42	9	19	2011	3	NA
43	9	19	2011	3	NA
44	9	19	2011	3	NA
45	9	19	2011	3	NA
46	9	19	2011	3	NA
47	9	19	2011	3	NA
48	9	19	2011	3	NA
49	9	19	2011	3	NA
50	9	19	2011	3	NA
51	9	19	2011	3	NA
52	9	19	2011	3	NA
53	9	19	2011	3	NA
54	9	19	2011	3	NA
55	9	19	2011	3	NA
56	9	19	2011	3	NA
57	9	19	2011	3	NA
58	9	19	2011	3	NA
59	9	19	2011	3	NA
60	9	19	2011	3	NA
61	9	19	2011	3	NA
62	9	19	2011	3	NA
63	9	19	2011	3	NA
64	9	19	2011	3	NA
65	9	19	2011	3	NA
66	9	19	2011	3	NA
67	9	19	2011	3	NA
68	9	19	2011	3	NA
69	9	19	2011	3	NA
70	9	19	2011	3	NA
71	9	19	2011	3	NA
72	9	19	2011	3	NA
73	9	19	2011	3	NA
74	9	19	2011	3	NA
75	9	19	2011	3	NA
76	9	19	2011	3	NA
77	9	19	2011	3	NA
78	9	19	2011	3	NA
79	9	19	2011	3	NA
80	9	19	2011	3	NA
81	9	19	2011	3	NA
82	9	19	2011	3	NA
83	9	19	2011	3	NA
84	9	19	2011	3	NA
85	9	19	2011	3	NA
86	9	19	2011	3	NA
87	9	19	2011	3	NA
88	9	19	2011	3	NA
89	9	19	2011	3	NA
90	9	19	2011	3	NA
91	9	19	2011	3	NA
92	9	19	2011	3	NA
93	9	19	2011	3	NA
94	9	19	2011	3	NA
95	9	19	2011	3	NA
96	9	19	2011	3	NA
1	9	20	2011	3	NA
2	9	20	2011	3	NA
3	9	20	2011	3	NA
4	9	20	2011	3	NA
5	9	20	2011	3	NA
6	9	20	2011	3	NA
7	9	20	2011	3	NA
8	9	20	2011	3	NA
9	9	20	2011	3	NA
10	9	20	2011	3	NA
11	9	20	2011	3	NA
12	9	20	2011	3	NA
13	9	20	2011	3	NA
14	9	20	2011	3	NA
15	9	20	2011	3	NA
16	9	20	2011	3	NA
17	9	20	2011	3	NA
18	9	20	2011	3	NA
19	9	20	2011	3	NA
20	9	20	2011	3	NA
21	9	20	2011	3	NA
22	9	20	2011	3	NA
23	9	20	2011	3	NA
24	9	20	2011	3	NA
25	9	20	2011	3	NA
26	9	20	2011	3	NA
27	9	20	2011	3	NA
28	9	20	2011	3	NA
29	9	20	2011	3	NA
30	9	20	2011	3	NA
31	9	20	2011	3	NA
32	9	20	2011	3	NA
33	9	20	2011	3	NA
34	9	20	2011	3	NA
35	9	20	2011	3	NA
36	9	20	2011	3	NA
37	9	20	2011	3	NA
38	9	20	2011	3	NA
39	9	20	2011	3	NA
40	9	20	2011	3	NA
41	9	20	2011	3	NA
42	9	20	2011	3	NA
43	9	20	2011	3	NA
44	9	20	2011	3	NA
45	9	20	2011	3	NA
46	9	20	2011	3	NA
47	9	20	2011	3	NA
48	9	20	2011	3	NA
49	9	20	2011	3	NA
50	9	20	2011	3	NA
51	9	20	2011	3	NA
52	9	20	2011	3	NA
53	9	20	2011	3	NA
54	9	20	2011	3	NA
55	9	20	2011	3	NA
56	9	20	2011	3	NA
57	9	20	2011	3	NA
58	9	20	2011	3	NA
59	9	20	2011	3	NA
60	9	20	2011	3	NA
61	9	20	2011	3	NA
62	9	20	2011	3	NA
63	9	20	2011	3	NA
64	9	20	2011	3	NA
65	9	20	2011	3	NA
66	9	20	2011	3	NA
67	9	20	2011	3	NA
68	9	20	2011	3	NA
69	9	20	2011	3	NA
70	9	20	2011	3	NA
71	9	20	2011	3	NA
72	9	20	2011	3	NA
73	9	20	2011	3	NA
74	9	20	2011	3	NA
75	9	20	2011	3	NA
76	9	20	2011	3	NA
77	9	20	2011	3	NA
78	9	20	2011	3	NA
79	9	20	2011	3	NA
80	9	20	2011	3	NA
81	9	20	2011	3	NA
82	9	20	2011	3	NA
83	9	20	2011	3	NA
84	9	20	2011	3	NA
85	9	20	2011	3	NA
86	9	20	2011	3	NA
87	9	20	2011	3	NA
