Sample	Month	Day	Year	Season	Temperature
1	3	28	2012	2	29.24
2	3	28	2012	2	29.24
3	3	28	2012	2	29.228
4	3	28	2012	2	29.215
5	3	28	2012	2	29.215
6	3	28	2012	2	29.19
7	3	28	2012	2	29.203
8	3	28	2012	2	29.19
9	3	28	2012	2	29.203
10	3	28	2012	2	29.19
11	3	28	2012	2	29.19
12	3	28	2012	2	29.19
13	3	28	2012	2	29.178
14	3	28	2012	2	29.178
15	3	28	2012	2	29.165
16	3	28	2012	2	29.165
17	3	28	2012	2	29.14
18	3	28	2012	2	29.14
19	3	28	2012	2	29.115
20	3	28	2012	2	29.115
21	3	28	2012	2	29.103
22	3	28	2012	2	29.103
23	3	28	2012	2	29.103
24	3	28	2012	2	29.09
25	3	28	2012	2	29.09
26	3	28	2012	2	29.103
27	3	28	2012	2	29.09
28	3	28	2012	2	29.09
29	3	28	2012	2	29.103
30	3	28	2012	2	29.103
31	3	28	2012	2	29.065
32	3	28	2012	2	28.854
33	3	28	2012	2	28.829
34	3	28	2012	2	28.817
35	3	28	2012	2	28.841
36	3	28	2012	2	28.854
37	3	28	2012	2	28.854
38	3	28	2012	2	28.866
39	3	28	2012	2	28.879
40	3	28	2012	2	28.891
41	3	28	2012	2	28.929
42	3	28	2012	2	28.953
43	3	28	2012	2	29.003
44	3	28	2012	2	29.04
45	3	28	2012	2	29.09
46	3	28	2012	2	29.115
47	3	28	2012	2	29.115
48	3	28	2012	2	29.128
49	3	28	2012	2	29.14
50	3	28	2012	2	29.153
51	3	28	2012	2	29.165
52	3	28	2012	2	29.203
53	3	28	2012	2	29.228
54	3	28	2012	2	29.253
55	3	28	2012	2	29.278
56	3	28	2012	2	29.353
57	3	28	2012	2	29.377
58	3	28	2012	2	29.389
59	3	28	2012	2	29.377
60	3	28	2012	2	29.389
61	3	28	2012	2	29.414
62	3	28	2012	2	29.427
63	3	28	2012	2	29.414
64	3	28	2012	2	29.439
65	3	28	2012	2	29.464
66	3	28	2012	2	29.439
67	3	28	2012	2	29.439
68	3	28	2012	2	29.439
69	3	28	2012	2	29.439
70	3	28	2012	2	29.414
71	3	28	2012	2	29.402
72	3	28	2012	2	29.389
73	3	28	2012	2	29.414
74	3	28	2012	2	29.414
75	3	28	2012	2	29.402
76	3	28	2012	2	29.389
77	3	28	2012	2	29.389
78	3	28	2012	2	29.389
79	3	28	2012	2	29.389
80	3	28	2012	2	29.389
81	3	28	2012	2	29.389
82	3	28	2012	2	29.389
83	3	28	2012	2	29.389
84	3	28	2012	2	29.389
85	3	28	2012	2	29.389
86	3	28	2012	2	29.389
87	3	28	2012	2	29.389
88	3	28	2012	2	29.377
89	3	28	2012	2	29.365
90	3	28	2012	2	29.365
91	3	28	2012	2	29.365
92	3	28	2012	2	29.365
93	3	28	2012	2	29.365
94	3	28	2012	2	29.353
95	3	28	2012	2	29.34
96	3	28	2012	2	29.328
1	3	29	2012	2	29.328
2	3	29	2012	2	29.328
3	3	29	2012	2	29.315
4	3	29	2012	2	29.315
5	3	29	2012	2	29.315
6	3	29	2012	2	29.303
7	3	29	2012	2	29.303
8	3	29	2012	2	29.29
9	3	29	2012	2	29.29
10	3	29	2012	2	29.29
11	3	29	2012	2	29.29
12	3	29	2012	2	29.278
13	3	29	2012	2	29.265
14	3	29	2012	2	29.253
15	3	29	2012	2	29.253
16	3	29	2012	2	29.253
17	3	29	2012	2	29.24
18	3	29	2012	2	29.24
19	3	29	2012	2	29.24
20	3	29	2012	2	29.228
21	3	29	2012	2	29.215
22	3	29	2012	2	29.215
23	3	29	2012	2	29.215
24	3	29	2012	2	29.215
25	3	29	2012	2	29.19
26	3	29	2012	2	29.19
27	3	29	2012	2	29.19
28	3	29	2012	2	29.19
29	3	29	2012	2	29.19
30	3	29	2012	2	29.203
31	3	29	2012	2	29.203
32	3	29	2012	2	29.165
33	3	29	2012	2	29.065
34	3	29	2012	2	29.015
35	3	29	2012	2	28.966
36	3	29	2012	2	28.941
37	3	29	2012	2	28.928
38	3	29	2012	2	28.928
39	3	29	2012	2	28.941
40	3	29	2012	2	28.953
41	3	29	2012	2	28.99
42	3	29	2012	2	29.028
43	3	29	2012	2	29.065
44	3	29	2012	2	29.09
45	3	29	2012	2	29.115
46	3	29	2012	2	29.115
47	3	29	2012	2	29.14
48	3	29	2012	2	29.178
49	3	29	2012	2	29.228
50	3	29	2012	2	29.253
51	3	29	2012	2	29.278
52	3	29	2012	2	29.328
53	3	29	2012	2	29.353
54	3	29	2012	2	29.377
55	3	29	2012	2	29.402
56	3	29	2012	2	29.439
57	3	29	2012	2	29.477
58	3	29	2012	2	29.515
59	3	29	2012	2	29.54
60	3	29	2012	2	29.553
61	3	29	2012	2	29.59
62	3	29	2012	2	29.615
63	3	29	2012	2	29.628
64	3	29	2012	2	29.628
65	3	29	2012	2	29.64
66	3	29	2012	2	29.603
67	3	29	2012	2	29.578
68	3	29	2012	2	29.54
69	3	29	2012	2	29.578
70	3	29	2012	2	29.54
71	3	29	2012	2	29.54
72	3	29	2012	2	29.515
73	3	29	2012	2	29.502
74	3	29	2012	2	29.515
75	3	29	2012	2	29.49
76	3	29	2012	2	29.49
77	3	29	2012	2	29.49
78	3	29	2012	2	29.477
79	3	29	2012	2	29.477
80	3	29	2012	2	29.465
81	3	29	2012	2	29.452
82	3	29	2012	2	29.452
83	3	29	2012	2	29.452
84	3	29	2012	2	29.452
85	3	29	2012	2	29.452
86	3	29	2012	2	29.439
87	3	29	2012	2	29.439
88	3	29	2012	2	29.439
89	3	29	2012	2	29.452
90	3	29	2012	2	29.452
91	3	29	2012	2	29.452
92	3	29	2012	2	29.439
93	3	29	2012	2	29.439
94	3	29	2012	2	29.439
95	3	29	2012	2	29.439
96	3	29	2012	2	29.439
1	3	30	2012	2	29.439
2	3	30	2012	2	29.427
3	3	30	2012	2	29.427
4	3	30	2012	2	29.414
5	3	30	2012	2	29.414
6	3	30	2012	2	29.414
7	3	30	2012	2	29.402
8	3	30	2012	2	29.402
9	3	30	2012	2	29.402
10	3	30	2012	2	29.389
11	3	30	2012	2	29.389
12	3	30	2012	2	29.377
13	3	30	2012	2	29.377
14	3	30	2012	2	29.377
15	3	30	2012	2	29.353
16	3	30	2012	2	29.353
17	3	30	2012	2	29.34
18	3	30	2012	2	29.328
19	3	30	2012	2	29.328
20	3	30	2012	2	29.328
21	3	30	2012	2	29.328
22	3	30	2012	2	29.315
23	3	30	2012	2	29.315
24	3	30	2012	2	29.315
25	3	30	2012	2	29.315
26	3	30	2012	2	29.315
27	3	30	2012	2	29.315
28	3	30	2012	2	29.315
29	3	30	2012	2	29.315
30	3	30	2012	2	29.315
31	3	30	2012	2	29.34
32	3	30	2012	2	29.315
33	3	30	2012	2	29.253
34	3	30	2012	2	29.228
35	3	30	2012	2	29.215
36	3	30	2012	2	29.228
37	3	30	2012	2	29.253
38	3	30	2012	2	29.278
39	3	30	2012	2	29.29
40	3	30	2012	2	29.228
41	3	30	2012	2	29.153
42	3	30	2012	2	29.19
43	3	30	2012	2	29.253
44	3	30	2012	2	29.328
45	3	30	2012	2	29.365
46	3	30	2012	2	29.414
47	3	30	2012	2	29.452
48	3	30	2012	2	29.49
49	3	30	2012	2	29.515
50	3	30	2012	2	29.54
51	3	30	2012	2	29.603
52	3	30	2012	2	29.615
53	3	30	2012	2	29.653
54	3	30	2012	2	29.665
55	3	30	2012	2	29.69
56	3	30	2012	2	29.728
57	3	30	2012	2	29.778
58	3	30	2012	2	29.815
59	3	30	2012	2	29.866
60	3	30	2012	2	29.916
61	3	30	2012	2	29.954
62	3	30	2012	2	29.966
63	3	30	2012	2	29.966
64	3	30	2012	2	29.954
65	3	30	2012	2	29.941
66	3	30	2012	2	29.941
67	3	30	2012	2	29.966
68	3	30	2012	2	29.966
69	3	30	2012	2	29.991
70	3	30	2012	2	29.979
71	3	30	2012	2	29.991
72	3	30	2012	2	30.004
73	3	30	2012	2	30.016
74	3	30	2012	2	29.966
75	3	30	2012	2	29.903
76	3	30	2012	2	29.865
77	3	30	2012	2	29.84
78	3	30	2012	2	29.815
79	3	30	2012	2	29.79
80	3	30	2012	2	29.778
81	3	30	2012	2	29.753
82	3	30	2012	2	29.74
83	3	30	2012	2	29.715
84	3	30	2012	2	29.69
85	3	30	2012	2	29.678
86	3	30	2012	2	29.678
87	3	30	2012	2	29.665
88	3	30	2012	2	29.653
89	3	30	2012	2	29.653
90	3	30	2012	2	29.64
91	3	30	2012	2	29.64
92	3	30	2012	2	29.628
